xentraldesk-worker  | INFO:app.services.ingestion_service:Document c6500736-ada7-4af1-9d85-d58ed90d172b: Chunk deletion complete
xentraldesk-worker  | INFO:app.services.ingestion_service:Document c6500736-ada7-4af1-9d85-d58ed90d172b: Starting text chunking (TIKTOKEN_AVAILABLE=True)
xentraldesk-worker  | INFO:app.services.ingestion_service:Document c6500736-ada7-4af1-9d85-d58ed90d172b: 2 chunks created (token-based)
xentraldesk-worker  | INFO:app.services.ingestion_service:Document c6500736-ada7-4af1-9d85-d58ed90d172b: Status set to 'vectorizing'
xentraldesk-worker  | INFO:app.services.ingestion_service:Document c6500736-ada7-4af1-9d85-d58ed90d172b: Starting embeddings (batch of 2 chunks)
xentraldesk-worker  | INFO:app.embeddings.gemini:Embedding cache initialized (Redis)
xentraldesk-worker  | INFO:app.embeddings.gemini:Batch embedding: 2 cached, 0 new
xentraldesk-worker  | INFO:app.services.ingestion_service:Document c6500736-ada7-4af1-9d85-d58ed90d172b: Got 2 vectors back
xentraldesk-worker  | INFO:app.services.ingestion_service:Document c6500736-ada7-4af1-9d85-d58ed90d172b: Committed 2 chunks to database
xentraldesk-worker  | INFO:app.services.ingestion_service:Γ£ô Source 39fa341b-e0c5-48f1-b242-e130111c87e7: All documents ready. Status set to idle.
xentraldesk-worker  | INFO:app.services.ingestion_service:Document c6500736-ada7-4af1-9d85-d58ed90d172b: ingestion complete (ready)
xentraldesk-worker  | INFO:app.services.knowledge_service:Γ₧ñ Creating extra document [2/4]: Architecting the Future
xentraldesk-worker  | INFO:app.services.ingestion_service:IngestionService: Starting ingestion for document d8f6ee25-02cc-4728-a9c5-8247fa6ff9c0
xentraldesk-worker  | INFO:app.services.ingestion_service:Document d8f6ee25-02cc-4728-a9c5-8247fa6ff9c0: Status set to 'chunking'
xentraldesk-worker  | INFO:app.services.ingestion_service:Document d8f6ee25-02cc-4728-a9c5-8247fa6ff9c0: Commit successful after chunking status
xentraldesk-worker  | INFO:app.services.ingestion_service:Document d8f6ee25-02cc-4728-a9c5-8247fa6ff9c0: Starting chunk deletion
xentraldesk-worker  | INFO:app.services.ingestion_service:Document d8f6ee25-02cc-4728-a9c5-8247fa6ff9c0: Chunk deletion complete
xentraldesk-worker  | INFO:app.services.ingestion_service:Document d8f6ee25-02cc-4728-a9c5-8247fa6ff9c0: Starting text chunking (TIKTOKEN_AVAILABLE=True)
xentraldesk-worker  | INFO:app.services.ingestion_service:Document d8f6ee25-02cc-4728-a9c5-8247fa6ff9c0: 2 chunks created (token-based)
xentraldesk-worker  | INFO:app.services.ingestion_service:Document d8f6ee25-02cc-4728-a9c5-8247fa6ff9c0: Status set to 'vectorizing'
xentraldesk-worker  | INFO:app.services.ingestion_service:Document d8f6ee25-02cc-4728-a9c5-8247fa6ff9c0: Starting embeddings (batch of 2 chunks)
xentraldesk-worker  | INFO:app.embeddings.gemini:Embedding cache initialized (Redis)
xentraldesk-worker  | INFO:app.embeddings.gemini:Batch embedding: 2 cached, 0 new
xentraldesk-worker  | INFO:app.services.ingestion_service:Document d8f6ee25-02cc-4728-a9c5-8247fa6ff9c0: Got 2 vectors back
xentraldesk-worker  | INFO:app.services.ingestion_service:Document d8f6ee25-02cc-4728-a9c5-8247fa6ff9c0: Committed 2 chunks to database
xentraldesk-worker  | INFO:app.services.ingestion_service:Γ£ô Source 39fa341b-e0c5-48f1-b242-e130111c87e7: All documents ready. Status set to idle.
xentraldesk-worker  | INFO:app.services.ingestion_service:Document d8f6ee25-02cc-4728-a9c5-8247fa6ff9c0: ingestion complete (ready)
xentraldesk-worker  | INFO:app.services.knowledge_service:Γ₧ñ Creating extra document [3/4]: Defining the Visionary Standard
xentraldesk-worker  | INFO:app.services.ingestion_service:IngestionService: Starting ingestion for document 16160cb0-f9f3-4685-ac46-64dd5f291e67
xentraldesk-worker  | INFO:app.services.ingestion_service:Document 16160cb0-f9f3-4685-ac46-64dd5f291e67: Status set to 'chunking'
xentraldesk-worker  | INFO:app.services.ingestion_service:Document 16160cb0-f9f3-4685-ac46-64dd5f291e67: Commit successful after chunking status
xentraldesk-worker  | INFO:app.services.ingestion_service:Document 16160cb0-f9f3-4685-ac46-64dd5f291e67: Starting chunk deletion
xentraldesk-worker  | INFO:app.services.ingestion_service:Document 16160cb0-f9f3-4685-ac46-64dd5f291e67: Chunk deletion complete
xentraldesk-worker  | INFO:app.services.ingestion_service:Document 16160cb0-f9f3-4685-ac46-64dd5f291e67: Starting text chunking (TIKTOKEN_AVAILABLE=True)
xentraldesk-worker  | INFO:app.services.ingestion_service:Document 16160cb0-f9f3-4685-ac46-64dd5f291e67: 2 chunks created (token-based)
xentraldesk-worker  | INFO:app.services.ingestion_service:Document 16160cb0-f9f3-4685-ac46-64dd5f291e67: Status set to 'vectorizing'
xentraldesk-worker  | INFO:app.services.ingestion_service:Document 16160cb0-f9f3-4685-ac46-64dd5f291e67: Starting embeddings (batch of 2 chunks)
xentraldesk-worker  | INFO:app.embeddings.gemini:Embedding cache initialized (Redis)
xentraldesk-worker  | INFO:app.embeddings.gemini:Batch embedding: 2 cached, 0 new
xentraldesk-worker  | INFO:app.services.ingestion_service:Document 16160cb0-f9f3-4685-ac46-64dd5f291e67: Got 2 vectors back
xentraldesk-worker  | INFO:app.services.ingestion_service:Document 16160cb0-f9f3-4685-ac46-64dd5f291e67: Committed 2 chunks to database
xentraldesk-worker  | INFO:app.services.ingestion_service:Γ£ô Source 39fa341b-e0c5-48f1-b242-e130111c87e7: All documents ready. Status set to idle.
